Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
SANGUISORBA MINOR,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,"RootN, RTD, SRL, diam from groot","leafN, height, SLA, depth from TRY",,,,
SCABIOSA COLUMBARIA,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,"RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
SCHISMUS BARBATUS,29.00293247,0.25,NA,18.21,0.16,NA,81.47,NA,SRL from Rolhauser and Pucheta 2017 Ecology,depth from Tumber-Davila et al. 2022 New Phytol,"leafN from Frenette-Dussault, C., Shipley, B., Léger, J.F., Meziane, D. & Hingrat, Y. (2012). Functional structure of an arid steppe plant community reveals similarities with Grime's C-S-R theory. Journal of Vegetation Science 23: 208-222.","height, SLA from TRY",,
SCHIZACHYRIUM SCOPARIUM,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,RTD from groot,"leafN, height, rootN, SLA, SRL, from Laughlin2010","depth, diam from TRY",,,
SCHOENUS APOGON,NA,0.25,NA,10.042795,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
SCLEROLAENA DIACANTHA,17.13159156,0.354166667,NA,4.445479003,NA,NA,NA,NA,leafN from AusTraits,"height, SLA from tRY",,,,
SCLEROLAENA ERIACANTHA,NA,0.2,NA,7.535749722,NA,NA,NA,NA,"height, SLA from tRY",,,,,
SCLEROLAENA TRICUSPIS,NA,0.8,NA,3.203377976,NA,NA,NA,NA,"height, SLA from TRY",,,,,
SCLEROPOGON BREVIFOLIUS,NA,NA,NA,14.7175273,0.996,NA,279.3546,0.053333333,"SLA, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
SCORZONEROIDES AUTUMNALIS,19.34660756,0.310966667,NA,21.52466367,0.7,NA,314.4166667,NA,"depth, SRL from lachaise et al. 2021 Oikos","leafN, height, SLA from TRY",,,,
SCUTELLARIA GALERICULATA,NA,0.345833333,NA,40.14142857,NA,NA,NA,NA,"height, SLA from TRY",,,,,
SECALE SYLVESTRE,NA,NA,NA,13.43,NA,NA,NA,NA,SLA from Halassy et al. 2019 Restoration Ecology,,,,,
SEDUM LANCEOLATUM,14.02,0.0202625,NA,17.37287879,NA,NA,NA,NA,"leafN from Spasojevic, M. J. and K. N. Suding. 2012. Inferring community assembly mechanisms from functional diversity patterns: the importance of multiple assembly processes. Journal of Ecology 100:652-661.","height, SLA from Carmona et al. 2021 Sci Adv",,,,
SENECIO LEUCANTHEMIFOLIUS,NA,0.275,NA,17.434,NA,NA,NA,NA,"SLA from Lhotsky B., Anikó Csecserits, Bence Kovács, Zoltán Botta-Dukát: New plant trait records of the Hungarian flora",height from Carmona et al. 2021 Sci Adv,,,,
SENECIO MADAGASCARIENSIS,37.065,0.6,NA,23.57,NA,NA,NA,NA,height from AusTraits,"leafN, SLA from Yarra",,,,
SENNA BAUHINIOIDES,NA,NA,NA,14.29802652,1.7,NA,7.894687,0.376666667,"SLA, RTD, fineRTD, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20). depth from groot","SLA and rootdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from groot,SRL from Sevilleta PI,,
SETARIA PAMPEANA,24.7,0.38,NA,19.52,NA,NA,NA,NA,height from Conti and Diaz 2012 J. Ecol,"leafN, SLA from TRY",,,,
SETARIA PARVIFLORA,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,"leafN, SLA, RTD, rootDiam from Yarra",height from TRY,,,,
SETARIA SPHACELATA,10.0375,NA,NA,14.16,NA,NA,11.17,0.57,leafN from TRY,SLA from Jardine et al. 2020 J Biogeo,,,,
SIDA PETROPHILA,NA,2,NA,6.55728,NA,NA,NA,NA,SLA from AusTraits,,,,,
SILENE CONICA,NA,0.2825,NA,70.3,NA,NA,NA,NA,"height, SLA from TRY",,,,,
SILENE NUTANS,35.742,0.454166667,NA,19.43385725,1.8,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
SILENE OTITES,30,0.445833333,NA,12.96333333,0.5,NA,NA,NA,depth from groot,"height, SLA from TRY",leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,,,
SILOXERUS MULTIFLORUS,NA,0.05,NA,4.67,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
SISYRINCHIUM BELLUM,17.68333333,0.1575,NA,23.93793933,NA,0.101107003,118.754489,0.32952,"SLA, Diam, SRL, RTD from Justin",leafN from Komastu et al. 2023 EDI,height from Carmona et al. 2021 Sci Adv,,,
SISYRINCHIUM CAMPESTRE,12.11333333,0.215,NA,11.59588118,NA,NA,NA,NA,"leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv.,,,,
SISYRINCHIUM MONTANUM,NA,0.225,NA,19.78,NA,NA,NA,NA,height from TRY,,,,,
SOLANUM ELAEAGNIFOLIUM,NA,1,NA,11.75,1.77,NA,15.678,0.324,"RTD, fineRTD, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20). depth from groot","rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,SRL from Sevilleta PI,height from Austraits,SLA from TRY
SOLANUM ELLIPTICUM,37.0175882,0.333333333,NA,5.402244049,NA,NA,NA,NA,leafN from AusTraits,"height, SLA from TRY",,,,
SOLDANELLA PUSILLA,NA,0.02,NA,16.8,0.11,NA,NA,NA,SLA from FIFTH 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,height from TRY,,,
SOLENOGYNE DOMINII,NA,0.2,NA,16.30426,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
SOLIDAGO CANADENSIS,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,"SRL,Diam from groot","leafN, height, SLA, depth from TRY",,,,
SOLIDAGO CHILENSIS,NA,0.03,NA,12.66592606,NA,NA,NA,NA,"height, SLA from TRY",,,,,
SOLIDAGO MISSOURIENSIS,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,"RTD, SRL,diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",rootN from Stiblikova et al. 2023 Oikos,"leafN, height, depth from TRY",,
SOLIDAGO NEMORALIS,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,"RootN, RTD, SRL,diam from groot","leafN, height, SLA, depth from TRY",,,,
SOLIDAGO RIGIDA,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,"RootN, RTD, SRL,diam from groot","height, sla from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, depth from TRY",,,
SOLIDAGO SPECIOSA,10.8,0.7403,8.9032965,8.834,NA,0.19,57,0.38,"RootN, RTD, SRL,diam from groot",height from Farrell 2018 Thesis Effects on management,,,,
SOLIDAGO VIRGAUREA,28.29400969,0.509,16.4,25.12385635,0.046,NA,4.546172562,0.524574564,"depth, SRL, diam from groot","leafN, height, SLA from TRY",,,,
SONCHUS ARVENSIS,26.4,1.1875,NA,21,0.56,0.22,40.22,NA,depth from Tumber-Davila et al. 2022 New Phytol,leafN from Abundance_trait_biomass_data,"RTD, SRL from Stibilkova et al.","height, SLA from TRY",,
SONCHUS ASPER,28.56,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,"RTD, SRL, diam from groot",depth from Stromberg et al. 2013 J. Arid Environments,leafN from Craine SI 300 Konza spp,"height, SLA from TRY",,
SONCHUS OLERACEUS,34.9,1.1328125,NA,39.67950467,0.755,NA,76.97,NA,SRL from AusTraits,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
SORGHASTRUM NUTANS,11.00766508,1.036,12.414309,66.41054391,0.6096,0.242752216,106.1696388,0.254561111,"RootN, RTD, SRL,diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, depth from TRY",,,
SORGHUM HALEPENSE,22.2,1.3834,NA,17.98889051,0.254,NA,NA,NA,"leafN, height, SLA, depth from TRY",,,,,
SPERMACOCE VERTICILLATA,NA,0.177879546,NA,15.0614139,NA,NA,NA,NA,"height, SLA from TRY",,,,,
SPHAERALCEA COCCINEA,28.09,0.4572,NA,12.61454363,0.1524,0.312666667,65.5839699,0.3163,"RTD, SRL, diam from groot https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",leafN from Blumenthal et al. 2020 Short steppe,"height, depth from TRY",,
SPHAERALCEA HASTULATA,NA,NA,NA,14.04606421,NA,NA,10.52042,0.492,"SLA, RTD, fineRTD, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20). depth from groot","SLA and rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,,,
SPHAERALCEA POLYCHROMA,NA,NA,NA,15.13239789,NA,NA,4.032394,0.533333333,"SLA, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
SPHENOPHOLIS OBTUSATA,28.92,0.97536,NA,17.35,0.1016,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, depth from TRY",,,,
SPOROBOLUS COMPOSITUS,8.2,0.213,NA,28.13,NA,NA,NA,0.49,"Height, SLA, Rdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder). for Sporobolus asper (synonym)",leafN from Oklah,,,,
SPOROBOLUS CONTRACTUS,NA,NA,NA,17.09756089,1.3,NA,NA,0.043333333,depth from groot,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,
SPOROBOLUS CRYPTANDRUS,12.97358435,0.352,27.8335825,23.90754717,0.4572,0.476,22.63833333,NA,"RootN, RTD, SRL from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA, depth from TRY",,,
SPOROBOLUS FLEXUOSUS,NA,0.9144,NA,15.81345753,0.254,NA,NA,0.04,"SLA, RTD, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SLA and rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, depth from TRY",,,
SPOROBOLUS INDICUS,NA,0.132066667,NA,13.4989968,NA,NA,NA,NA,height from TRY,SLA from Streit et al. 2022 J Veg Sci,,,,
STEINCHISMA HIANS,NA,NA,NA,25,NA,NA,NA,NA,SLA from Cruz et al. 2019 Ecologia Austral,,,,,
STELLARIA GRAMINEA,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,"RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
STENANDRIUM DULCE,NA,NA,NA,11.04753685,NA,NA,NA,NA,SLA from TRY,,,,,
STENARIA NIGRICANS,15.275,0.2,NA,15.01261282,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, SLA from TRY",,,,
STENOTAPHRUM SECUNDATUM,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,SLA from Cruz et al. 2019 Ecologia Austral,diam from Jardine et al. 2020 Eco Evol,"height, depth from TRY",,,
STIPA COMATA,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,"RTD, SRL from groot","leafN, height, rootN, SLA, depth from TRY",,,,
STIPA elegantissima,NA,0.36,NA,18.174,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
STIPA JUNCEA,NA,0.41515,NA,5.724449192,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
STIPA NITIDA,NA,0.8,NA,9.58,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
STIPA PENNATA,13.2,0.475,10.1,16.05136437,NA,0.238540863,45.88074833,0.4617094,"RootN, RTD, SRL, diam from groot","leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv,,,
STIPA PULCHRA,NA,NA,NA,21.2309966,NA,0.01859375,132.7,0.356625,"SLA, Diam, SRL, RTD from Justin",,,,,
STIPA SCABRA,NA,0.8,NA,13.27,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
STIPA SPARTEA,14.01546154,0.576,18,8.74965934,0.254,0.393143677,61.25734351,0.2496,"RTD, SRL, diam from groot","rootN, SLA, depth from TRY","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",,,
STIPA SPECIOSA,12.13,0.169,7.94,15.44,0.352,NA,22.41,0.352,All traits from Potrok aike,,,,,
STYLOSANTHES BIFLORA,NA,0.15,NA,12.00722222,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv.",,,,,
STYLOSANTHES LEIOCARPA,NA,0.0825,NA,22.05,NA,NA,NA,NA,height from TRY,SLA from Joner et al. 2021 J Veg Sci,,,,
SYMPHORICARPOS OCCIDENTALIS,16.7,0.9144,6.3,10.49876226,0.4572,0.337326723,49.10063542,0.302883333,"height, depth from TRY","RTD, SRL, diam from groot","SLA, leafN, rootN from Cahill 2020 ERA",,,
SYMPHYOTRICHUM DRUMMONDII,19.27,NA,NA,13.49527665,NA,NA,NA,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv",,,,,
SYMPHYOTRICHUM ERICOIDES,12.6,0.5257,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,"RootN, depth, RTD, SRL, diam from groot",leafN from Oklah,height Farrell et al. 2018 thesis,SLA from TRY,,
SYMPHYOTRICHUM FALCATUM,22.282,0.4175,8.6,14.18715,NA,0.12,79.08403333,0.31118,diam from groot,"leafN, height, SLA, SRL from Laughlin2010","rootN, RTD from Stiblikova et al. ",,,
SYMPHYOTRICHUM LAEVE,11.6,0.976666667,9.78,14.28815235,NA,0.253411079,69.91354785,0.323475,"RTD, SRL, diam from groot","height, SLA from TRY",leafN from Farrell 2018 Thesis Effects of management…,rootN from Stiblikova et al. 2023 Oikos,,
SYMPHYOTRICHUM LANCEOLATUM,25.1,1.8288,NA,12.754,0.2032,NA,NA,NA,leaf from Serra-Willow Buchanan 2022 thesis,SLA from Abundance_trait_biomass_data,"height, depth from TRY",,,
SYMPHYOTRICHUM NOVAE-ANGLIAE,23.5,1.022302632,NA,23.88988777,NA,0.12,52,0.46,"diam, RTD, SRL from groot",leafN from Livingstone et al. 2020,"height, SLA from TRY",,,
SYMPHYOTRICHUM NOVI-BELGII,16.3812,1.367933333,NA,19.6,0.254,NA,NA,NA,"height, SLA, depth from TRY",,,,,
SYMPHYOTRICHUM OBLONGIFOLIUM,24.88,0.523,NA,10.48,0.73,0.324153605,44.79630213,0.314933333,leafN from Craine et al. 2012 Plant Soil,"depth, RTD, SRL, diam from groot",height from Carmona et al. 2021 Sci Adv,,,
SYMPHYOTRICHUM OOLENTANGIENSE,16.02907407,0.7209,19.81443763,14.68950044,NA,0.12,81.16666667,0.35,"RootN, RTD, SRL, diam from groot","leafN, SLA from TRY",height Farrell et al. 2018 thesis effects on management,,,
SYMPHYOTRICHUM PILOSUM,17.8,0.861666667,NA,18.27837298,NA,NA,NA,NA,leafN from Khalil et al. 2019 Func Ecol.,"height, SLA from TRY",,,,
SYRENIA CANA,NA,NA,NA,12.73,NA,NA,NA,NA,SLA from Halassy et al. RE 2018 traits,,,,,
TAGETES MINUTA,44.5,0.7,10.3,13.875,NA,0.081,44.84,0.3,"RootN, RTD, SRL from groot","leafN, height, SLA from TRY",,,,
TARAXACUM ALPINUM,27.3775,0.065833333,NA,25.81466667,NA,NA,NA,NA,"leafN, height, SLA from Carmona et al. 2021 Sci Adv",,,,,
TARAXACUM CAMPYLODES,28.3472693,0.044,10.73618,30.05916441,0.1524,NA,213.1,0.292,"SRL, diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, rootN, SLA, depth from TRY",,,
TEESDALIA NUDICAULIS,39.94462333,0.138333333,NA,28.95,NA,NA,NA,NA,"height, SLA from TRY",leafN from Cerabolini et al. 2010 Plant Ecology,,,,
TEPHROSIA VIRGINIANA,NA,NA,NA,15.10264657,NA,NA,NA,NA,SLA from TRY,,,,,
THALICTRUM VENULOSUM,NA,NA,NA,19.84,NA,NA,NA,NA,SLA from Laurin 2012 Msc Thesis,,,,,
THELESPERMA FILIFOLIUM,24.36,0.18804,NA,13.73905805,NA,NA,NA,NA,"leafN, height, SLA from Blumenthal et al .2020 J Ecol",,,,,
THEMEDA TRIANDRA,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,"leafN, height, rootN, SLA, diam from TRY",,,,,
THLASPI ARVENSE,40.4,0.423333333,NA,24.42761317,0.49,NA,428.45,NA,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,leafN from Komastu et al. 2023 EDI,"height, SLA from TRY",,
THYRIDOLEPIS MITCHELLIANA,NA,0.3,NA,13.98,NA,NA,NA,NA,"height, SLA from TRY",,,,,
THYSANOTUS TUBEROSUS,NA,0.7,NA,4.460784,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
TIDESTROMIA LANUGINOSA,NA,NA,NA,17.09882973,0.265,NA,4.37819,0.074,"SLA, RTD, fineRTD, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","SLA and rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,depth from Tumber-Davila et al. 2022 New Phytol,,
TORILIS ARVENSIS,20.12,0.725,NA,27.94666667,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, SLA from TRY",,,,
TRACHYMENE HUMILIS,NA,0.3,NA,13.213604,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
TRACHYPOGON SPICATUS,11.7375,0.400769231,NA,4.654,NA,NA,NA,NA,"leafN, height from TRY",SLA from Giles et al. 2022 Restoration Ecol,,,,
TRADESCANTIA OCCIDENTALIS,19.58333333,0.3445,NA,15.39121988,0.51,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
TRAGIA BETONICIFOLIA,33.18,NA,NA,17.36263738,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,SLA from Carmona et al. 2021 Sci Adv,,,,
TRAGOPOGON DUBIUS,26.314,0.34175,11.37,18.88481429,0.1524,0.27502617,48.55913333,0.359875,"LeafN, height, rootN, SLA, SRL from Laughlin2010","RTD, diam from groot",depth from TRY,,,
TRAGOPOGON PRATENSIS,27,0.575,20.30344663,22.41578318,NA,0.170824899,150.3177187,0.287861111,"RootN, RTD, SRL, diam from groot","height, SLA from TRY",,,,
TRICHOPHORUM CESPITOSUM,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,"RootN, depth, SRL, diam from groot",RTD from Mackay et al. 2019 New Phytol,SLA from Heim thesis 2020,"leafN, height, depth from TRY",,
TRIDENS FLAVUS,13.07,0.660992,NA,12.5091284,0.254,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, SLA, depth from TRY",,,,
TRIENTALIS EUROPEA,NA,NA,NA,51,NA,NA,NA,NA,SLA from 12298_2021_973_MOESM2,,,,,
TRIFOLIUM DUBIUM,35.6,0.076,27.56771735,30.39,0.3445,0.109,254.8747547,0.231187416,"RootN, depth, RTD, SRL, diam from groot","leafN, height, SLA from Jena",,,,
TRIFOLIUM MACROCEPHALUM,NA,0.6096,NA,6.89,0.1524,NA,NA,NA,SLA from Tortorelli et al. 2022 Ecology,"height, depth from TRY",,,,
TRIFOLIUM MONTANUM,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,"RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
TRIFOLIUM PRATENSE,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,"RTD, SRL, diam from groot","leafN, height, rootN, SLA, depth from TRY",,,,
TRIFOLIUM REPENS,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,"RTD, SRL, diam from groot","leafN, height, rootN, SLA, depth from TRY",,,,
TRIODIA BASEDOWII,6.4,1.3,NA,59.3,NA,NA,NA,NA,"leafN, height from Austraits",,,,,
TRIPLEUROSPERMUM INODORUM,16.5,0.6,NA,22.90687782,0.05,0.2937,198.182,0.7459309,"height, SLA from TRY",,,,,
TRIPOGON LOLIIFORMIS,NA,0.15,NA,17.69,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
TRISETUM FLAVESCENS,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,"RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
TRISETUM SPICATUM,24.54076945,0.32706,NA,21.1,0.3048,NA,NA,0.24,diam from Pohl et al. 2011 Annals of Botany,SLA from Elumeeva et al. 2015 Moscow,"leafN from Bjorkman, AD, IH Myers-Smith, SC Elmendorf, S Normand, HJD Thomas, and 86 others (2018) Tundra Trait Team: a database of plant traits spanning the tundra biome. Global Ecology and Biogeography 27(12): 1402-1411.","height, depth from TRY",,
TRISTACHYA LEUCOTHRIX,9.6,0.424,4.466666667,16.28247734,NA,0.62,NA,0.366666667,"height, SLA from Carmona et al. 2021 Sci Adv",RTD from groot,"leafN, rootN, diam from TRY",,,
ULEX PARVIFLORUS,14.1,0.904,NA,1.578504121,1.5,0.71673186,9.189147922,0.373179167,"depth, RTD, SRL, diam from groot","height, SLA from Garraf",leafN from TRY,,,
VALERIANELLA LOCUSTA,26,0.1925,NA,31.7,0.05,0.56326,204,1.242171,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,"depth, RTD, SRL, diam from Laichse et al. 2021 Oikos","height, SLA from TRY",,,
VENTENATA DUBIA,NA,0.225,NA,20.5,NA,NA,NA,0.28,"SLA, rootdiam from Tortorelli et al. 2022 Ecology",height from TRY,,,,
VERBASCUM THAPSUS,22.02,0.948833333,10.57730317,18.71464984,NA,0.19,48.32998315,0.46,"height, SLA from TRY","diam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from groot",leafN from Craine et al. 2012 Plant Soil,,
VERBENA STRICTA,10.6,0.9975,NA,13.78250342,1.2192,NA,NA,NA,depth from groot,"leafN, height, SLA from TRY",,,,
VERNONANTHURA NUDIFLORA,NA,0.353956631,NA,5.448504172,NA,NA,NA,NA,"height, SLA from TRY",,,,,
VERONICA ARVENSIS,15,0.187777778,NA,21.00097059,0.19,NA,713.9166667,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"height, SLA from TRY",,
VERONICA CHAMAEDRYS,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,"RootN, RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
VERONICA FILIFORMIS,NA,0.2375,NA,35.925,NA,NA,NA,NA,"height, SLA from TRY",,,,,
VERONICA PEREGRINA,NA,0.154166667,NA,29.10888889,0.15,NA,NA,NA,"height, SLA from TRY",depth from Stromberg 2013 J. Arid Environments,,,,
VERONICA PERSICA,10.69385,0.197,13.095,37.0252478,NA,0.08,496.275,0.243952497,"height, SLA from TRY","rootN, RTD, SRL, diam from groot",leafN from Cerabolini et al. 2010 Plant Ecology,,,
VERONICA SERPYLLIFOLIA,NA,0.195833333,NA,22.86188407,0.21,0.229166667,NA,0.0915,"RTD, diam from groot","height, SLA from TRY",,,,
VICIA AMERICANA,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,"RTD, diam from groot","leafN, height, rootN, SLA, SRL, from Laughlin2010",depth from TRY,,,
VICIA ARTICULATA,NA,0.253333333,NA,25.51,NA,NA,NA,NA,"height, SLA from tRY",,,,,
