,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
122,jilpanger.au,APHELIA PUMILIO,0.5,0.5,0.5,0,-0.5,0,-0.5,,0.03,,,,,,,,,,,,height from austraits,,,,,,
937,kiskun.hu,ARENARIA SERPYLLIFOLIA,0.505,0,0.01,0.01,0.01,-0.495,0.505,17.48,0.075,13.275,23.7,0.21,0.067,627.505,0.207422972,,0.0675,0.183673469,0.067,627.505,"leafN, height, SLA from Jena PI","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,RTD fine from TRY,,,
347,cobar.au,ARISTIDA CONTORTA,3,1,0,0,-1,-3,2,,0.3,,9.37,,,,,,,,,,"height, SLA from TRY",,,,,,
400,ethadb.au,ARISTIDA HOLATHERA,2.75,1.5,14.5,3,1.5,11.75,-10.25,8.4875,0.7,2.975,5.62,,0.745,,0.375,,,,,,"leafN, height, rootN, SLA, diam from TRY",RTD from TRY,,,,,
856,cerrillos.ar,ARISTIDA MENDOCINA,17.19,20.42,11.67,19.37666667,-1.04333333,-5.52,4.47666667,23.9,0.47,,12.66,,,,,,,,,,"leafN, height, SLA from Conti 2013",,,,,,
177,jrnchi.us,ARISTIDA PURPUREA,2.6915114,0.6081433,1.0141988,0,-0.6081433,-1.6773126,1.0691693,14.9,0.086,6.528089643,35.63,1.315133333,0.356693928,26.65175783,0.7061,,0.327164,0.366204139,0.327164,26.65175783,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD, SRL, RMF from groot",RTD fine from TRY,,,,
654,cdpt_drt.us,ARISTIDA PURPUREA,0,5,6,4.333333333,-0.666666667,6,-6.666666667,14.9,0.086,6.528089643,35.63,1.315133333,0.356693928,26.65175783,0.7061,,0.327164,0.366204139,0.327164,26.65175783,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, depth, RTD, SRL, RMF from groot",RTD fine from TRY,,,,
869,sand.us,ARISTIDA STRICTA,14,23.33333333,26.66666667,27,3.66666667,12.66666667,-9,,1.18872,,5.943,0.1524,,,,,,,,,"height, depth from TRY",SLA from Ames 2016,,,,,
243,paike.ar,ARMERIA MARITIMA,1,1,1,1,0,0,0,17,0.308106667,9.3,13.41474,0.254,,27.4,0.221876923,,,,,,"leafN, height, depth from TRY","rootN, diam from groot",leafN from CoRRE,SRL Bass 2022,,,
707,rhijn.nl,ARRHENATHERUM ELATIUS,11.83333333,6.333333333,8.333333333,20,13.66666667,-3.499999997,17.16666666,25.84,0.4715,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.3197,,0.153268837,0.590536924,0.153268837,190.1954961,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",leafN from Jena PI,"depth, RTD fine from TRY","rootN, RTD, SRL, RMF from groot",,,
891,oreaa.us,ARTEMISIA ARBUSCULA,26.33333333,30.6,13.83333333,12.2,-18.4,-12.5,-5.9,,0.6096,,10.08,0.254,,,,,,,,,"height, depth from TRY",SLA from Wessel 2022,,,,,
505,kiskun.hu,ARTEMISIA CAMPESTRIS,5.25,2.25,7,3,0.75,1.75,-1,28.42,0.637875,9.064339995,13.34316615,1.22,,52.76693918,,52.77,,0.547920434,,52.76693918,"leafN, height, SLA, from TRY","rootN, SRL, RMF from groot",depth from Tumber-Davila 2022,SRL fine from Stiblikova,,,
918,oreac.us,ARTEMISIA CANA,30,52.5,21.25,34.5,-18,-8.75,-9.25,17.711,1.524,,15.88121837,0.508,0.261669741,55.91952402,0.31,,0.261669741,,0.261669741,55.91952402,"height, depth, RTD fine from TRY","RTD, SRL, diam from groot","leafN, SLA from CoRRE",,,,
112,kernb.ca,ARTEMISIA FRIGIDA,2.166666667,0.5,32,6.666666667,6.166666667,29.83333333,-23.66666667,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
289,biddulph.ca,ARTEMISIA FRIGIDA,3,1,5,2,1,2,-1,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
489,nplatte.us,ARTEMISIA FRIGIDA,13.5,2,30,0,-2,16.5,-18.5,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
498,matador.ca,ARTEMISIA FRIGIDA,2.333333333,2.166666667,2,1.333333333,-0.833333334,-0.333333333,-0.500000001,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
800,cdpt_drt.us,ARTEMISIA FRIGIDA,6.2,12.5,4.666666667,11.5,-1,-1.533333333,0.533333333,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
861,mattheis.ca,ARTEMISIA FRIGIDA,32,21,15,17.6,-3.4,-17,13.6,27.14787037,0.11,8.590909091,39.97,0.2032,0.434276159,28.08058367,0.52165,,0.362103739,,0.362103739,28.08058367,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",,,,
254,konzadrt.us,ARTEMISIA LUDOVICIANA,1,1,2,1,0,1,-1,19.24454545,0.146666667,11.625,27.64,0.2032,0.653920526,11.98698158,0.679725,,0.20378902,0.24225099,0.20378902,11.98698158,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",RMF from groot,,,
457,kernnu.ca,ARTEMISIA LUDOVICIANA,1,2,0.75,3,1,-0.25,1.25,19.24454545,0.146666667,11.625,27.64,0.2032,0.653920526,11.98698158,0.679725,,0.20378902,0.24225099,0.20378902,11.98698158,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",RMF from groot,,,
548,cedarsav.us,ARTEMISIA LUDOVICIANA,1.6,3,1,1,-2,-0.6,-1.4,19.24454545,0.146666667,11.625,27.64,0.2032,0.653920526,11.98698158,0.679725,,0.20378902,0.24225099,0.20378902,11.98698158,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",RMF from groot,,,
757,brookdale.ca,ARTEMISIA LUDOVICIANA,12,9.166666667,1.25,1.95,-7.216666667,-10.75,3.533333333,19.24454545,0.146666667,11.625,27.64,0.2032,0.653920526,11.98698158,0.679725,,0.20378902,0.24225099,0.20378902,11.98698158,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",RMF from groot,,,
798,kernb.ca,ARTEMISIA LUDOVICIANA,1,12.5,1,3,-9.5,0,-9.5,19.24454545,0.146666667,11.625,27.64,0.2032,0.653920526,11.98698158,0.679725,,0.20378902,0.24225099,0.20378902,11.98698158,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x61","leafN, depth, RTD fine from TRY",RMF from groot,,,
1090,hard.us,ARTEMISIA NOVA,0,0,10,16.5,16.5,10,6.5,,0.6096,,,0.254,,,,,,,,,"height, depth from TRY",,,,,,
846,octc.us,ARTEMISIA TRIDENTATA,16.81173785,18.96621009,16.27758363,16.77924463,-2.18696546,-0.53415422,-1.65281124,15.26666667,2.0334,,7.24415531,0.508,,76.06224385,0.485315,,,0.33,,76.06224385,"leafN, height, SLA, depth from TRY","SRL, diam, RMF from groot",,,,,
878,nplatte.us,ARTEMISIA TRIDENTATA,0,25,10,0,-25,10,-35,15.26666667,2.0334,,7.24415531,0.508,,76.06224385,0.485315,,,0.33,,76.06224385,"leafN, height, SLA, depth from TRY","SRL, diam, RMF from groot",,,,,
1095,hard.us,ARTEMISIA TRIDENTATA,0,0,20,35,35,20,15,15.26666667,2.0334,,7.24415531,0.508,,76.06224385,0.485315,,,0.33,,76.06224385,"leafN, height, SLA, depth from TRY","SRL, diam, RMF from groot",,,,,
353,elvadrt.ee,ARTEMISIA VULGARIS,0,1,1,0,-1,1,-2,44.63333333,1.439387862,,21.44697757,,0.103788328,270.1683965,0.241066667,,,0.373838899,0.103788328,270.1683965,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",,,,,
568,cedartrait.us,ASCLEPIAS TUBEROSA,1,3,0,0,-3,-1,-2,26.19666667,0.4575,19.260113,25.51287911,0.4064,0.22,36.66666667,0.5,,,0.53,0.22,36.66666667,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, depth from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,
1052,konzadrt.us,ASCLEPIAS VIRIDIS,0,0,1.033333333,3,3,1.033333333,1.966666667,30.71,0.456,,11.45383188,,0.320746666,41.57111916,0.36446,41.57,0.320747,0.511032351,0.320747,41.57111916,"height, SLA, RTD fine from TRY","RTD, SRL, diam, RMF from groot",leafN from Craine 2012,SRL fine from Tucker 2010,,,
16,allmendb.ch,ASPERULA CYNANCHICA,0.25,0.25,0.25,0.25,0,0,0,15,0.284375,,27.91666667,0.93,,,,,,,,,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoRRE,,,,
382,allmendo.ch,ASPERULA CYNANCHICA,0.375,1.375,0.416666667,2.375,1,0.041666667,0.958333333,15,0.284375,,27.91666667,0.93,,,,,,,,,"height, SLA from TRY",depth from Tumber-Davila 2022,leafN from CoRRE,,,,
120,falls.au,ASPERULA GUNNII,0.5,0.5,0.5,0,-0.5,0,-0.5,11.66072727,0.316,,21.01661896,,,,,,,,,,"height, SLA from austraits",leafN from Bjorkman 2018,,,,,
193,falls.au,ASTEROLASIA TRYMALIOIDES,0.5,0.75,0.666666667,0.75,0,0.166666667,-0.166666667,5.2237,0.635,,4.969295341,,,,,,,,,,"height, SLA from austraits",leafN from Bjorkman 2018,,,,,
766,cmss.us,ASTRAGALUS MISER,2,10,6.333333333,2,-8,4.333333333,-12.33333333,,,,,,,,,,,,,,,,,,,,
86,capwhite.us,ASTRAGALUS NUTTALLIANUS,0,0.5,0.5,0.75,0.25,0.5,-0.25,,,,20.29476228,0.13,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Tumber-Davila 2022,,,,,
978,capmcd.us,ASTRAGALUS NUTTALLIANUS,0,0,1,0.75,0.75,1,-0.25,,,,20.29476228,0.13,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Tumber-Davila 2022,,,,,
838,milparinka.au,ASTREBLA LAPPACEA,25,17.5,21,21,3.5,-4,7.5,,0.65,,11.27071875,,,,0.25146667,,,,,,"height, SLA from TRY",diam from Jardine 2021,,,,,
877,milparinka.au,ASTREBLA PECTINATA,19,25,21,21,-4,2,-6,,0.63,,11.34143293,,,,,,,,,,"height, SLA from austraits",,,,,,
501,scruzh.us,AVENA BARBATA,0.877193,2.173913,1.5998551,0,-2.173913,0.7226621,-2.8965751,17,0.389,,25.46342593,0.5,0.02363125,52.18888889,0.746666667,35.83542207,0.07,0.467209767,0.07,,"leafN, height, SLA, RTD fine from TRY",RMF from groot,"SRL , diam from austraits",depth from Tumber-Davila 2022,RTD from Justin,SRL fine from Kandlikar 2022,
659,naposta.ar,AVENA BARBATA,5,5,15,20,15,10,5,17,0.389,,25.46342593,0.5,0.02363125,52.18888889,0.746666667,35.83542207,0.07,0.467209767,0.07,,"leafN, height, SLA, RTD fine from TRY",RMF from groot,"SRL , diam from austraits",depth from Tumber-Davila 2022,RTD from Justin,SRL fine from Kandlikar 2022,
890,scruzl.us,AVENA BARBATA,41,30.6,5.472445967,1.2195122,-29.3804878,-35.52755403,6.147066233,17,0.389,,25.46342593,0.5,0.02363125,52.18888889,0.746666667,35.83542207,0.07,0.467209767,0.07,,"leafN, height, SLA, RTD fine from TRY",RMF from groot,"SRL , diam from austraits",depth from Tumber-Davila 2022,RTD from Justin,SRL fine from Kandlikar 2022,
934,scruzm.us,AVENA BARBATA,86.6924611,81.37091954,75.91367574,66.17974404,-15.1911755,-10.77878536,-4.41239014,17,0.389,,25.46342593,0.5,0.02363125,52.18888889,0.746666667,35.83542207,0.07,0.467209767,0.07,,"leafN, height, SLA, RTD fine from TRY",RMF from groot,"SRL , diam from austraits",depth from Tumber-Davila 2022,RTD from Justin,SRL fine from Kandlikar 2022,
566,lygraold.no,AVENELLA FLEXUOSA,1.333333333,3,3,25,22,1.666666667,20.33333333,,0.44,,61.28,0.75,,,,,,,,,"height, depth from Tumber-Davila 2022",SLA from Heim_2021,,,,,
672,yarradrt.au,AXONOPUS FISSIFOLIUS,5.475,5.4,4,0,-5.4,-1.475,-3.925,11.3,0.07836831,,16.32,,,,,,,,,,"leafN, SLA from Yarra PI",height from TRY,,,,,
393,paike.ar,AZORELLA FUEGIANA,1,1.5,1,1.5,0,0,0,,,,,,,,,,,,,,,,,,,,
244,paike.ar,AZORELLA MONANTHA,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
402,chacra.ar,BACCHARIS GILLIESII,1.5,1.5,0,5,3.5,-1.5,5,,,,,,,,,,,,,,,,,,,,
409,chacra.ar,BACCHARIS TENELLA,1.5,1.5,0,0,-1.5,-1.5,0,,,,,,,,,,,,,,,,,,,,
410,chacra.ar,BACCHARIS ULICINA,1.5,1.5,0,0,-1.5,-1.5,0,,,,,,,,,,,,,,,,,,,,
986,naposta.ar,BACCHARIS ULICINA,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
171,kiskun.hu,BASSIA LANIFLORA,1.45,0.5525,0.125,0.0575,-0.495,-1.325,0.83,,0.25,,7.806666667,,,,,,,,,,height from TRY,SLA from CoRRE,,,,,
49,jilpanger.au,BLENNOSPORA DRUMMONDII,0.5,0.5,0.5,0.5,0,0,0,,0.072126038,,18.69517424,,,,,,,,,,"height, SLA from austraits",,,,,,
188,oreaa.us,BLEPHARIPAPPUS SCABER,0.7,0.7,0.9,0.6,-0.1,0.2,-0.3,,,,,,,,,,,,,,,,,,,,
342,marcdrt.ar,BOTHRIOCHLOA LAGUROIDES,2,1,0,0,-1,-2,1,17.433,,,18.83239,,,,,,,,,,leafN from Nippert and Donnelly Konza,SLA from CoRRE,,,,,
530,cerrillos.ar,BOUTELOUA ARISTIDOIDES,0,2.505,12.815,36.565,34.06,12.815,21.245,15.9,0.04,,12.89,0.3,,,0.265,103.65,,,,103.65,"leafN, SLA from TRY",depth from Tumber-Davila 2022,height from Conti 2013,diam from Collier 2003,SRL fine from Kandlikar 2022,,
571,cedartrait.us,BOUTELOUA CURTIPENDULA,3,3,0,0,-3,-3,0,16.6,0.2475,13.6452491,36.44,0.3048,0.311237007,108.473243,0.597475,,,0.388111111,0.311237007,108.473243,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RMF from TRY","rootN, RTD, SRL from groot",,,,
864,konzadrt.us,BOUTELOUA CURTIPENDULA,18,21.5,2,3.5,-18,-16,-2,16.6,0.2475,13.6452491,36.44,0.3048,0.311237007,108.473243,0.597475,,,0.388111111,0.311237007,108.473243,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RMF from TRY","rootN, RTD, SRL from groot",,,,
403,cedartrait.us,BOUTELOUA GRACILIS,2,1.5,0,8,6.5,-2,8.5,16.1,0.136666667,5.7625,33.85,0.135,0.333818451,43.6557059,0.5731,25.86916574,0.426463814,0.33053001,0.426463814,25.86916574,"leafN, height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x70",RMF from groot,RTD fine from TRY,,
778,cdpt_drt.us,BOUTELOUA GRACILIS,11.66666667,10.66666667,15,12.83333333,2.16666666,3.33333333,-1.16666667,16.1,0.136666667,5.7625,33.85,0.135,0.333818451,43.6557059,0.5731,25.86916574,0.426463814,0.33053001,0.426463814,25.86916574,"leafN, height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x70",RMF from groot,RTD fine from TRY,,
841,mattheis.ca,BOUTELOUA GRACILIS,15.4,18,25,26,8,9.6,-1.6,16.1,0.136666667,5.7625,33.85,0.135,0.333818451,43.6557059,0.5731,25.86916574,0.426463814,0.33053001,0.426463814,25.86916574,"leafN, height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x70",RMF from groot,RTD fine from TRY,,
862,nplatte.us,BOUTELOUA GRACILIS,32.5,21,7.571428571,20.8,-0.2,-24.92857143,24.72857143,16.1,0.136666667,5.7625,33.85,0.135,0.333818451,43.6557059,0.5731,25.86916574,0.426463814,0.33053001,0.426463814,25.86916574,"leafN, height, rootN, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, SRL fine from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x70",RMF from groot,RTD fine from TRY,,
385,scruzh.us,BRACHYPODIUM DISTACHYON,39.4736842,1.4084507,0,2.4691358,1.0606851,-39.4736842,40.5343693,18.016125,0.1005,,31.34417431,0.5,,50.57142857,,,0.073220833,0.36375,0.073220833,,"height, SLA, RMF from TRY",depth from Tumber-Davila 2022,leafN from CoRRE,"SRL, RTD fine from Aoyama 2023",,,
443,scruzm.us,BRACHYPODIUM DISTACHYON,2.3809524,1.95238095,1.0416667,1.8348624,-0.11751855,-1.3392857,1.22176715,18.016125,0.1005,,31.34417431,0.5,,50.57142857,,,0.073220833,0.36375,0.073220833,,"height, SLA, RMF from TRY",depth from Tumber-Davila 2022,leafN from CoRRE,"SRL, RTD fine from Aoyama 2023",,,
684,allmendo.ch,BRACHYPODIUM PINNATUM,6.25,5.833333333,3.583333333,6.083333333,0.25,-2.666666667,2.916666667,18.10766667,0.540866667,7.10106212,23.44096448,0.1,0.186379697,207.6695041,0.22129993,,0.29,0.45742541,0.29,207.6695041,"leafN,height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
